instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
30n20b8,config16,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.190959,38.988205,12000,11,11,1,0.000000,0.000000,1.233491,1.858491,5
30n20b8,config16,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.258874,39.767309,12000,11,11,1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config16,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.128375,37.865485,12000,11,11,1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config16,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.127916,36.077718,12000,11,11,1,0.000000,0.000000,0.358491,0.358491,2
30n20b8,config16,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.253894,41.041059,12000,11,11,1,0.000000,0.000000,0.422222,0.422222,4
30n20b8,config17,1,FOUND INTEGER FEASIBLE,0.014788,2.611910,1002,10,9,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config17,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.014743,45.823630,12000,10,10,0,0.000000,0.000000,0.612012,1.527505,5
30n20b8,config17,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.029524,51.033809,12000,10,10,0,0.000000,0.000000,0.555556,2.444444,2
30n20b8,config17,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.029072,56.099421,12000,10,10,0,0.000000,0.000000,0.653521,1.569014,7
30n20b8,config17,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.029162,37.724526,12000,10,10,0,0.000000,0.000000,1.235910,1.235910,4
30n20b8,config21,1,FOUND INTEGER FEASIBLE,0.026182,3.241683,850,9,8,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config21,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.027342,44.316278,12000,9,9,0,0.000000,0.000000,0.253521,1.169014,3
30n20b8,config21,3,FOUND INTEGER FEASIBLE,0.013298,0.691760,244,9,1,0,906.000000,906.000000,0.000000,0.000000,0
30n20b8,config21,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.026040,36.708306,12000,9,9,0,0.000000,0.000000,0.877419,0.877419,3
30n20b8,config21,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.026164,45.839904,12000,9,9,0,0.000000,0.000000,0.021978,1.021978,2
30n20b8,config23,1,FOUND INTEGER FEASIBLE,0.026236,37.817489,10630,9,9,0,2730.000000,2730.000000,0.000000,0.000000,0
30n20b8,config23,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.026048,37.493835,12000,9,9,0,0.000000,0.000000,0.469767,1.600000,3
30n20b8,config23,3,FOUND INTEGER FEASIBLE,0.026164,2.602101,579,9,5,0,5530.000000,5530.000000,0.000000,0.000000,0
30n20b8,config23,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.026165,43.110831,12000,9,9,0,0.000000,0.000000,0.021978,0.021978,2
30n20b8,config23,5,FOUND INTEGER FEASIBLE,0.013832,0.981214,334,9,3,0,4153.000000,4153.000000,0.000000,0.000000,0
50v-10,config16,1,FOUND INTEGER FEASIBLE,0.012231,0.070533,4,0,0,0,20171.079947,20171.079947,0.000000,0.000000,0
50v-10,config16,2,FOUND INTEGER FEASIBLE,0.009545,0.054730,4,0,0,0,9559.729975,9559.729975,0.000000,0.000000,0
50v-10,config16,3,FOUND INTEGER FEASIBLE,0.009185,0.046093,2,0,0,0,9544.509972,9544.509972,0.000000,0.000000,0
50v-10,config16,4,FOUND INTEGER FEASIBLE,0.011725,0.055424,1,0,0,0,7482.059980,7482.059980,0.000000,0.000000,0
50v-10,config16,5,FOUND INTEGER FEASIBLE,0.009162,0.046897,3,0,0,0,24537.669936,24537.669936,0.000000,0.000000,0
50v-10,config17,1,FOUND INTEGER FEASIBLE,0.004154,0.027795,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config17,2,FOUND INTEGER FEASIBLE,0.005142,0.035418,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config17,3,FOUND INTEGER FEASIBLE,0.004139,0.028040,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config17,4,FOUND INTEGER FEASIBLE,0.004112,0.027771,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config17,5,FOUND INTEGER FEASIBLE,0.005050,0.034177,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config21,1,FOUND INTEGER FEASIBLE,0.002425,0.028396,0,0,0,0,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config21,2,FOUND INTEGER FEASIBLE,0.002442,0.028282,0,0,0,0,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config21,3,FOUND INTEGER FEASIBLE,0.002472,0.028238,0,0,0,0,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config21,4,FOUND INTEGER FEASIBLE,0.002013,0.023464,0,0,0,0,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config21,5,FOUND INTEGER FEASIBLE,0.001986,0.023607,0,0,0,0,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config23,1,FOUND INTEGER FEASIBLE,0.001972,0.026013,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,2,FOUND INTEGER FEASIBLE,0.002500,0.031880,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,3,FOUND INTEGER FEASIBLE,0.001507,0.023689,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,4,FOUND INTEGER FEASIBLE,0.001891,0.024055,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,5,FOUND INTEGER FEASIBLE,0.002448,0.031156,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
CMS750_4,config16,1,FOUND INTEGER FEASIBLE,0.107525,0.661154,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config16,2,FOUND INTEGER FEASIBLE,0.143907,0.866433,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config16,3,FOUND INTEGER FEASIBLE,0.140752,0.810274,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config16,4,FOUND INTEGER FEASIBLE,0.142825,0.857991,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config16,5,FOUND INTEGER FEASIBLE,0.143472,0.870700,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config17,1,FOUND INTEGER FEASIBLE,0.047175,0.560664,0,0,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config17,2,FOUND INTEGER FEASIBLE,0.047326,0.564869,0,0,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config17,3,FOUND INTEGER FEASIBLE,0.047583,0.561233,0,0,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config17,4,FOUND INTEGER FEASIBLE,0.042261,0.520519,0,0,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config17,5,FOUND INTEGER FEASIBLE,0.048707,0.579846,0,0,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config21,1,FOUND INTEGER FEASIBLE,0.236908,0.956517,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config21,2,FOUND INTEGER FEASIBLE,0.233640,0.953210,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config21,3,FOUND INTEGER FEASIBLE,0.236121,0.967927,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config21,4,FOUND INTEGER FEASIBLE,0.234995,0.965768,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config21,5,FOUND INTEGER FEASIBLE,0.211709,0.848007,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config23,1,FOUND INTEGER FEASIBLE,0.234197,0.959294,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config23,2,FOUND INTEGER FEASIBLE,0.176666,0.732081,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config23,3,FOUND INTEGER FEASIBLE,0.174966,0.706613,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config23,4,FOUND INTEGER FEASIBLE,0.236388,0.981384,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
CMS750_4,config23,5,FOUND INTEGER FEASIBLE,0.236394,0.983883,0,11,0,0,993.000000,993.000000,0.000000,0.000000,0
academictimetablesmall,config16,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.698397,3600,4538,12,12,1,0.000000,0.000000,54.997900,36.277802,341
academictimetablesmall,config16,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.797546,3600,4739,12,12,1,0.000000,0.000000,38.168908,22.546499,160
academictimetablesmall,config16,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.036999,3600,4702,12,12,1,0.000000,0.000000,42.011640,33.969312,297
academictimetablesmall,config16,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.558158,3600,4639,12,12,1,0.000000,0.000000,27.229541,21.930360,287
academictimetablesmall,config16,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.805919,3600,4701,12,12,1,0.000000,0.000000,46.945188,29.436508,301
academictimetablesmall,config17,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.491886,3600,4659,11,11,6,0.000000,0.000000,38.972564,24.971282,257
academictimetablesmall,config17,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.059012,3600,3815,11,11,6,0.000000,0.000000,52.871507,45.391680,460
academictimetablesmall,config17,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.094311,3600,4630,11,11,6,0.000000,0.000000,36.108005,36.358849,282
academictimetablesmall,config17,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,4.888422,3600,4676,11,11,6,0.000000,0.000000,38.910806,31.900229,269
academictimetablesmall,config17,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.618083,3600,4660,11,11,6,0.000000,0.000000,35.250000,30.964286,168
academictimetablesmall,config21,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.967371,3600,4718,12,12,1,0.000000,0.000000,30.200000,18.000000,131
academictimetablesmall,config21,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.354398,3600,4447,12,12,1,0.000000,0.000000,41.885865,24.594860,202
academictimetablesmall,config21,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,2.565649,3600,4705,12,12,1,0.000000,0.000000,33.907407,20.935185,264
academictimetablesmall,config21,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.863761,3600,4365,12,12,1,0.000000,0.000000,48.430450,42.243857,431
academictimetablesmall,config21,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.963401,3600,4682,12,12,1,0.000000,0.000000,42.238095,23.196429,193
academictimetablesmall,config23,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.824366,3600,4774,12,12,1,0.000000,0.000000,39.325059,20.293144,173
academictimetablesmall,config23,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.966803,3600,4558,12,12,1,0.000000,0.000000,38.660039,32.274692,355
academictimetablesmall,config23,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.955029,3600,4749,12,12,1,0.000000,0.000000,29.149912,21.930776,180
academictimetablesmall,config23,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,2.270736,3600,4449,12,12,1,0.000000,0.000000,28.904582,26.762616,352
academictimetablesmall,config23,5,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,2.543314,3600,4613,12,12,1,0.000000,0.000000,48.115460,37.874679,354
air05,config16,1,FOUND INTEGER FEASIBLE,0.174822,2.088773,4,3,1,1,28059.000000,28059.000000,0.000000,0.000000,0
air05,config16,2,FOUND INTEGER FEASIBLE,0.172364,2.039262,4,3,1,1,28059.000000,28059.000000,0.000000,0.000000,0
air05,config16,3,FOUND INTEGER FEASIBLE,0.171276,2.040846,4,3,1,1,28059.000000,28059.000000,0.000000,0.000000,0
air05,config16,4,FOUND INTEGER FEASIBLE,0.130075,3.545462,14,3,1,1,32463.000000,32463.000000,0.000000,0.000000,0
air05,config16,5,FOUND INTEGER FEASIBLE,0.170805,1.540663,1,3,1,1,28674.000000,28674.000000,0.000000,0.000000,0
