instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
r-stop-dp-R50_3_v4_d0.25_b5,config1,4,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,1149,0,-1,-1,0.000000,0.000000,1.278979,1.278979,13
r-stop-dp-R50_3_v4_d0.25_b5,config1,5,FOUND INTEGER FEASIBLE,0.000000,2565.202446,822,0,-1,-1,-89.144090,-117.609480,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config3,1,FOUND INTEGER FEASIBLE,0.000000,53.483176,11,0,-1,-1,-70.510450,-70.510450,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config3,2,FOUND INTEGER FEASIBLE,0.000000,41.157645,10,0,-1,-1,-14.860480,-21.906400,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config3,3,FOUND INTEGER FEASIBLE,0.000000,5.789885,3,0,-1,-1,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config3,4,FOUND INTEGER FEASIBLE,0.000000,44.789856,25,0,-1,-1,-70.413410,-100.170020,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config3,5,FOUND INTEGER FEASIBLE,0.000000,4.165643,3,0,-1,-1,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config20,1,FOUND INTEGER FEASIBLE,0.000000,2983.253008,544,0,-1,-1,-78.959160,-134.199690,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config20,2,FOUND INTEGER FEASIBLE,0.000000,2159.455092,398,0,-1,-1,-122.090570,-134.140990,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config20,3,FOUND INTEGER FEASIBLE,0.000000,2878.673446,538,0,-1,-1,-123.640800,-140.475770,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config20,4,FOUND INTEGER FEASIBLE,0.000000,3170.642943,1017,0,-1,-1,-131.219720,-135.977120,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config20,5,FOUND INTEGER FEASIBLE,0.000000,1740.381723,532,0,-1,-1,-51.923300,-67.994840,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config16,1,FOUND INTEGER FEASIBLE,14.626785,66.466216,201,12,2,0,-81.683320,-96.839920,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config16,2,FOUND INTEGER FEASIBLE,15.857013,67.720680,227,12,2,0,-82.362540,-90.869780,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config16,3,FOUND INTEGER FEASIBLE,14.650533,68.081334,228,12,2,0,-88.647160,-103.972620,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config16,4,FOUND INTEGER FEASIBLE,15.336895,212.499618,248,12,2,0,-75.568460,-86.793560,0.000000,0.000000,0
r-stop-dp-R50_3_v4_d0.25_b5,config16,5,FOUND INTEGER FEASIBLE,14.539126,82.391519,209,12,2,0,-70.648560,-80.935920,0.000000,0.000000,0
