 &FP$^*$ & FP$^{-}$ & FP$^{+}$ & KP$^*$ & KP$^{-}$ & KP$^{+}$ & KP$^{+/-}$ & CPLEX$_{std}$ & CPLEX$_{feas}$ \\
FP$^*$ & {--} & 0/25/23 & 1/45/2 & 0/33/15 & 0/18/30 & 0/18/30 & 0/18/30 & 0/18/30 & 0/18/30 \\
FP$^{-}$ & 23/25/0 & {--} & 22/26/0 & 9/38/1 & 0/41/7 & 0/41/7 & 0/41/7 & 0/41/7 & 0/41/7 \\
FP$^{+}$ & 2/45/1 & 0/26/22 & {--} & 0/34/14 & 0/19/29 & 0/19/29 & 0/19/29 & 0/19/29 & 0/19/29 \\
KP$^*$ & 15/33/0 & 1/38/9 & 14/34/0 & {--} & 0/33/15 & 0/33/15 & 0/33/15 & 0/33/15 & 0/33/15 \\
KP$^{-}$ & 30/18/0 & 7/41/0 & 29/19/0 & 15/33/0 & {--} & 0/48/0 & 0/48/0 & 0/48/0 & 0/48/0 \\
KP$^{+}$ & 30/18/0 & 7/41/0 & 29/19/0 & 15/33/0 & 0/48/0 & {--} & 0/48/0 & 0/48/0 & 0/48/0 \\
KP$^{+/-}$ & 30/18/0 & 7/41/0 & 29/19/0 & 15/33/0 & 0/48/0 & 0/48/0 & {--} & 0/48/0 & 0/48/0 \\
CPLEX$_{std}$ & 30/18/0 & 7/41/0 & 29/19/0 & 15/33/0 & 0/48/0 & 0/48/0 & 0/48/0 & {--} & 0/48/0 \\
CPLEX$_{feas}$ & 30/18/0 & 7/41/0 & 29/19/0 & 15/33/0 & 0/48/0 & 0/48/0 & 0/48/0 & 0/48/0 & {--} \\
