, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) ,
30n20b8 , ,0,12000,100,100,0.008499,0.008861,0.030831,-1,50.963995, ,0.333333,11486.666667,100,100,0.004221,0.004221,0.016322,80.628608,44.891402, ,0,12000,100,100,0.00836,0.009597,0.032644,-1,51.180689, ,0,12000,100,100,0.004732,0.006473,0.019949,-1,47.241404, ,0.333333,8283.333333,97.222222,16.666667,0.0013,0.0013,0.007254,92.98653,32.392638, ,0.333333,8334,96.969697,9.090909,0.002117,0.007203,0.012695,94.538879,36.061284,
icir97_tension , ,1,157.666667,100,100,0,0,0,8.909193,3.26342, ,1,310.666667,100,100,0,0,0,11.289113,4.975531, ,1,711.666667,63.333333,10,0,0,0,8.6743,7.396015, ,1,682,93.333333,20,0,0,0,10.268724,5.521954, ,1,103.666667,21.212121,18.181818,0,0,0,10.376029,1.52926, ,1,357,80,20,0,0,0,10.680412,4.913111,
irish-electricity , ,0.333333,5092.666667,100,100,0.011269,0.011269,0.158441,26.380764,3106.717211, ,0,6531.666667,100,100,0.014416,0.014416,0.259574,-1,3600.081904, ,0,7494.666667,100,61.538462,0.014269,0.014269,0.232605,-1,3600.752167, ,0,0,100,0,100,100,100,-1,125.903421, ,0,6646.333333,100,71.428571,0.012495,0.012434,0.333738,-1,3600.806311, ,0,5124.333333,100,78.571429,0.016904,0.016904,0.242718,-1,3600.790467,
irp , ,1,14.333333,100,100,0,0,0,4.904567,0.90221, ,1,3.333333,100,100,0,0,0,1.349099,0.529925, ,1,14.333333,100,100,0,0,0,4.904567,1.355789, ,1,111,100,66.666667,0,0,0,2.672632,3.716065, ,1,11,50,50,0,0,0,2.943484,1.201934, ,1,109,18.181818,9.090909,0,0,0,2.725375,3.672987,
istanbul-no-cutoff , ,1,1,100,100,0,0,0,16.815065,3.25537, ,1,0,100,100,0,0,0,38.217465,0.920809, ,1,1,10,10,0,0,0,28.363733,1.760107, ,1,0,100,100,0,0,0,38.217465,1.15807, ,1,1,11.111111,11.111111,0,0,0,36.15581,1.583394, ,1,0,100,100,0,0,0,38.217465,1.152235,
k1mushroom , ,1,1,100,100,0,0,0,18.248175,51.384694, ,1,20.666667,100,100,0,0,0,96.553122,11.124773, ,1,519.666667,77.777778,11.111111,0,0,0,76.317924,345.305252, ,1,139.333333,100,66.666667,0,0,0,98.296837,29.104295, ,1,214,33.333333,11.111111,0,0,0,86.536902,108.338655, ,1,160.666667,50,25,0,0,0,78.10219,31.948256,
lectsched-5-obj , ,0,12000,100,100,0.005462,0.006991,0.122296,-1,290.300152, ,0,12000,100,100,0.006609,0.006609,0.085607,-1,298.409113, ,0,12000,100,100,0.005462,0.006991,0.122296,-1,563.684753, ,0,12000,100,100,0.006609,0.006609,0.085607,-1,293.001236, ,0,12000,100,76.923077,0.006153,0.007019,0.102423,-1,297.758032, ,0,12000,100,100,0.006609,0.006609,0.085607,-1,290.779373,
leo1 , ,1,1,100,100,0,0,0,33.226316,0.389827, ,1,1,100,100,0,0,0,51.048736,0.35286, ,1,1,10,10,0,0,0,22.83468,0.281583, ,1,1,14.285714,14.285714,0,0,0,42.221663,0.245594, ,1,0,8.333333,8.333333,0,0,0,18.203497,0.286606, ,1,1,11.111111,11.111111,0,0,0,51.421851,0.28749,
leo2 , ,1,1,100,100,0,0,0,32.942186,0.792552, ,1,1,100,100,0,0,0,60.974486,0.735585, ,1,0,10,10,0,0,0,22.221254,0.542058, ,1,1,16.666667,16.666667,0,0,0,57.644898,0.49495, ,1,1,7.692308,7.692308,0,0,0,23.260554,0.559112, ,1,1,16.666667,16.666667,0,0,0,56.599588,0.527054,
lotsize , ,1,19.666667,100,100,0,0,0,65.943668,0.331056, ,1,21,100,100,0,0,0,84.719723,0.350125, ,1,19.666667,100,100,0,0,0,65.943668,0.410126, ,1,15,100,100,0,0,0,86.302843,0.325293, ,1,99.333333,21.212121,18.181818,0,0,0,69.083296,1.054824, ,1,15.333333,11.111111,11.111111,0,0,0,86.115003,0.306276,
mad , ,1,1,100,100,0,0,0,99.150256,0.032642, ,1,0,100,100,0,0,0,99.755813,0.013117, ,1,0,12.5,12.5,0,0,0,99.072215,0.017589, ,1,0,50,50,0,0,0,99.755813,0.014436, ,1,1,14.285714,14.285714,0,0,0,98.563329,0.037296, ,1,0,100,100,0,0,0,99.755813,0.016009,
map10 , ,1,1,100,100,0,0,0,67.676768,5.789259, ,1,0,100,100,0,0,0,100,2.12649, ,1,0,8.333333,8.333333,0,0,0,100,5.158695, ,1,0,50,50,0,0,0,100,2.155857, ,1,0,7.692308,7.692308,0,0,0,100,4.998438, ,1,0,50,50,0,0,0,100,2.162156,
map16715-04 , ,1,1,100,100,0,0,0,85.585586,6.649912, ,1,0,100,100,0,0,0,100,2.142583, ,1,0,12.5,12.5,0,0,0,100,5.94013, ,1,0,50,50,0,0,0,100,2.155385, ,1,0,10,10,0,0,0,100,6.01319, ,1,0,50,50,0,0,0,100,2.14926,
markshare2 , ,1,1,100,100,0,0,0,99.761098,0.008261, ,1,0,100,100,0,0,0,99.990487,0.00424, ,1,0,14.285714,14.285714,0,0,0,99.888641,0.005964, ,1,0,100,100,0,0,0,99.990487,0.005703, ,1,1,16.666667,16.666667,0,0,0,99.770361,0.009804, ,1,0,100,100,0,0,0,99.990487,0.005999,
markshare_4_0 , ,1,1,100,100,0,0,0,99.421965,0.004474, ,1,0,100,100,0,0,0,99.967554,0.003691, ,1,0,25,25,0,0,0,99.421965,0.004051, ,1,0,100,100,0,0,0,99.967554,0.00431, ,1,1,20,20,0,0,0,99.545455,0.00508, ,1,0,100,100,0,0,0,99.967554,0.004403,
mas74 , ,1,1,100,100,0,0,0,50.332406,0.013244, ,1,0,100,100,0,0,0,92.499784,0.011241, ,1,0,12.5,12.5,0,0,0,75.5409,0.010237, ,1,0,100,100,0,0,0,92.499784,0.013241, ,1,0,11.111111,11.111111,0,0,0,75.5409,0.010925, ,1,0,100,100,0,0,0,92.499784,0.013637,
mas76 , ,1,1,100,100,0,0,0,17.461455,0.013733, ,1,0,100,100,0,0,0,74.574881,0.011162, ,1,0,11.111111,11.111111,0,0,0,44.566005,0.010182, ,1,0,100,100,0,0,0,74.574881,0.014019, ,1,0,11.111111,11.111111,0,0,0,44.566005,0.00998, ,1,0,100,100,0,0,0,74.574881,0.013356,
mc11 , ,1,16.333333,100,100,0,0,0,61.911982,0.256369, ,1,16.333333,100,100,0,0,0,65.221097,0.267552, ,1,20,50,50,0,0,0,13.542899,0.199649, ,1,20,50,50,0,0,0,62.856689,0.198352, ,1,16.333333,10,10,0,0,0,62.663481,0.294454, ,1,16.666667,10,10,0,0,0,64.178498,0.314121,
mcsched , ,1,1,100,100,0,0,0,35.983282,0.314307, ,1,0,100,100,0,0,0,55.427743,0.038971, ,1,0,8.333333,8.333333,0,0,0,54.838524,0.370321, ,1,0,33.333333,33.333333,0,0,0,55.427743,0.044821, ,1,0,7.692308,7.692308,0,0,0,51.556985,0.392868, ,1,0,50,50,0,0,0,55.319198,0.028815,
mik-250-20-75-4 , ,1,2,100,100,0,0,0,41.651849,0.035927, ,1,0,100,100,0,0,0,100,0.025108, ,1,2,16.666667,16.666667,0,0,0,100,0.034588, ,1,0,100,100,0,0,0,100,0.037531, ,1,2,9.090909,9.090909,0,0,0,100,0.040103, ,1,0,100,100,0,0,0,100,0.036394,
milo-v12-6-r2-40-1 , ,1,15.666667,100,100,0,0,0,52.730415,0.525277, ,1,17,100,100,0,0,0,60.576462,0.622557, ,1,118,55.555556,33.333333,0,0,0,30.666209,1.172305, ,1,17,33.333333,33.333333,0,0,0,60.435506,0.766747, ,1,7.333333,50,50,0,0,0,33.743466,0.595477, ,1,104,66.666667,33.333333,0,0,0,57.5934,1.466777,
momentum1 , ,1,1583.333333,100,100,0,0,0,69.168279,33.301259, ,1,964,100,100,0,0,0,69.420767,23.355454, ,1,973.666667,95.833333,12.5,0,0,0,49.155832,9.011482, ,1,4394.333333,100,16.666667,0,0,0,71.006677,75.489565, ,1,650.666667,76.666667,20,0,0,0,67.367309,14.912258, ,1,238.666667,25,8.333333,0,0,0,51.368167,5.567352,
mushroom-best , ,1,19.666667,100,100,0,0,0,99.998885,9.901322, ,1,19.666667,100,100,0,0,0,99.998864,10.12237, ,1,2,33.333333,33.333333,0,0,0,30.018387,1.845172, ,1,37.333333,44.444444,33.333333,0,0,0,99.884797,4.31664, ,1,2,20,20,0,0,0,41.793352,1.531716, ,1,2,25,25,0,0,0,99.709976,1.572901,
mzzv11 , ,1,17.333333,100,100,0,0,0,39.07051,13.660098, ,1,0,100,100,0,0,0,100,0.754127, ,1,0,7.692308,7.692308,0,0,0,100,13.282204, ,1,0,50,50,0,0,0,100,0.768873, ,1,0,7.142857,7.142857,0,0,0,100,13.289273, ,1,0,50,50,0,0,0,100,0.770631,
mzzv42z , ,1,1.666667,100,100,0,0,0,27.345018,4.742415, ,1,0,100,100,0,0,0,100,0.79165, ,1,0,7.692308,7.692308,0,0,0,100,4.345683, ,1,0,50,50,0,0,0,100,0.814308, ,1,0,7.142857,7.142857,0,0,0,100,4.709565, ,1,0,50,50,0,0,0,100,0.816163,
n2seq36q , ,1,1.666667,100,100,0,0,0,18.9606,1.052557, ,1,0,100,100,0,0,0,74.758221,0.636958, ,1,1,10,10,0,0,0,16.166253,0.592883, ,1,0,33.333333,33.333333,0,0,0,74.758221,0.695484, ,1,2,7.692308,7.692308,0,0,0,34.165205,1.216816, ,1,0,50,50,0,0,0,77.57732,0.868566,
n3div36 , ,1,1,100,100,0,0,0,21.533389,1.341143, ,1,1,100,100,0,0,0,35.01674,1.05492, ,1,1,12.5,12.5,0,0,0,30.453065,0.989191, ,1,0,20,20,0,0,0,29.978587,0.706218, ,1,1,9.090909,9.090909,0,0,0,28.484087,1.027422, ,1,1,20,20,0,0,0,61.936375,0.947932,
n5-3 , ,1,3.333333,100,100,0,0,0,30.907013,0.102792, ,1,0,100,100,0,0,0,99.967843,0.041555, ,1,3.333333,33.333333,33.333333,0,0,0,36.286386,0.157081, ,1,0,50,50,0,0,0,99.967843,0.064813, ,1,3.333333,50,50,0,0,0,36.286386,0.155554, ,1,0,50,50,0,0,0,99.967843,0.06529,
neos-1122047 , ,1,1,100,100,0,0,0,0.617284,1.887861, ,1,1,100,100,0,0,0,0.617284,7.060786, ,1,1,50,50,0,0,0,0.617284,1.903168, ,1,0,33.333333,33.333333,0,0,0,0.617284,9.048245, ,1,1,50,50,0,0,0,0.617284,2.299584, ,1,0,33.333333,33.333333,0,0,0,0.617284,8.682578,
neos-1171448 , ,1,1,100,100,0,0,0,16.343042,0.686598, ,1,0,100,100,0,0,0,97.411003,0.455878, ,1,0,10,10,0,0,0,45.954693,1.52757, ,1,0,100,100,0,0,0,97.411003,0.547274, ,1,1,20,20,0,0,0,14.994606,1.103715, ,1,0,100,100,0,0,0,97.411003,0.545935,
neos-1171737 , ,1,1,100,100,0,0,0,31.282051,0.278412, ,1,0,100,100,0,0,0,97.435897,0.184563, ,1,0,20,20,0,0,0,66.666667,0.505418, ,1,0,100,100,0,0,0,97.435897,0.22335, ,1,1,33.333333,33.333333,0,0,0,24.957265,0.460953, ,1,0,100,100,0,0,0,97.435897,0.222726,
neos-1354092 , ,1,4.333333,100,100,0,0,0,15.773536,19.183044, ,1,4,100,100,0,0,0,15.293168,18.439295, ,1,286.333333,80,20,0,0,0,4.166667,67.963704, ,1,385.333333,83.333333,16.666667,0,0,0,9.803922,29.350029, ,1,11.666667,7.692308,7.692308,0,0,0,3.486998,43.932688, ,1,5.333333,7.692308,7.692308,0,0,0,10.915336,28.333564,
neos-1445765 , ,1,7.666667,100,100,0,0,0,36.600499,2.083024, ,1,0,100,100,0,0,0,100,0.111658, ,1,0,7.692308,7.692308,0,0,0,100,1.86313, ,1,0,100,100,0,0,0,100,0.150321, ,1,0,7.142857,7.142857,0,0,0,100,2.039349, ,1,0,100,100,0,0,0,100,0.141298,
neos-1456979 , ,1,440.666667,100,100,0,0,0,60.588634,29.882396, ,1,81.666667,100,100,0,0,0,61.679959,6.946318, ,1,265,100,100,0,0,0,60.792878,18.823509, ,1,471.666667,100,75,0,0,0,59.12989,45.44504, ,1,52,20,20,0,0,0,57.778296,4.949616, ,1,176,28.571429,14.285714,0,0,0,60.47817,23.4678,
neos-1582420 , ,1,171.333333,100,100,0,0,0,56.098875,2.449579, ,1,56.666667,100,100,0,0,0,60.427621,1.125461, ,1,311.666667,100,90.909091,0,0,0,51.917607,3.360205, ,1,363.333333,100,62.5,0,0,0,59.828453,2.130883, ,1,330.333333,43.589744,7.692308,0,0,0,50.841749,3.412699, ,1,130,21.212121,9.090909,0,0,0,58.791241,2.198029,
neos-2657525-crna , ,1,419.666667,100,100,0,0,0,93.005849,0.902508, ,1,898.333333,100,100,0,0,0,94.605516,1.353702, ,1,94,33.333333,14.285714,0,0,0,96.489967,0.138937, ,1,119.666667,73.333333,40,0,0,0,96.119933,0.127499, ,1,24,14.285714,14.285714,0,0,0,92.300713,0.072069, ,1,735,100,16.666667,0,0,0,93.807213,1.436154,
neos-2746589-doon , ,0,12000,100,100,0.015954,0.0105,0.315478,-1,933.866103, ,0,12000,100,100,0.016659,0.01109,0.313515,-1,920.083627, ,0,11084.333333,100,66.666667,0.02075,0.018745,0.365221,-1,3600.364544, ,0.333333,10705.666667,100,75,0.006221,0.007,0.041889,51.789701,2892.523039, ,1,658,69.444444,8.333333,0,0,0,18.442059,323.440349, ,0,11198,100,7.692308,0.005849,0.005541,0.043198,-1,3600.389417,
neos-2978193-inde , ,1,1,100,100,0,0,0,30.214184,0.23902, ,1,1,100,100,0,0,0,100,0.270885, ,1,1,12.5,12.5,0,0,0,12.282696,0.525765, ,1,1,50,50,0,0,0,100,0.42577, ,1,0,33.333333,33.333333,0,0,0,100,0.42464, ,1,1,50,50,0,0,0,100,0.423567,
neos-2987310-joes , ,1,12.333333,100,100,0,0,0,0.685995,4.642777, ,1,0,100,100,0,0,0,99.963327,1.694062, ,1,1.666667,14.285714,14.285714,0,0,0,99.168377,2.136431, ,1,0,50,50,0,0,0,99.963327,0.943491, ,1,1.666667,16.666667,16.666667,0,0,0,99.168377,2.402111, ,1,0,50,50,0,0,0,99.963327,0.949716,
neos-3004026-krka , ,0,12000,100,100,0.003011,0.003011,0.039147,-1,161.297407, ,0,12000,100,100,0.003011,0.004667,0.039147,-1,141.153939, ,0,12000,100,66.666667,0.006625,0.006625,0.086123,-1,144.943323, ,0,12000,100,66.666667,0.005601,0.005601,0.062635,-1,151.20925, ,0,12000,100,50,0.006926,0.006926,0.090037,-1,147.736892, ,0,12000,100,50,0.005721,0.005721,0.074379,-1,145.457077,
neos-3024952-loue , ,0.333333,1563.666667,100,100,0.00256,0.00256,0.051203,88.795082,28.092177, ,1,530.666667,100,100,0,0,0,89.709995,8.20997, ,0.333333,1563.666667,100,100,0.00256,0.00256,0.051203,88.795082,28.223175, ,1,530.666667,100,100,0,0,0,89.709995,8.588409, ,0.333333,1563.666667,100,100,0.00256,0.00256,0.051203,88.795082,27.827532, ,1,530.666667,100,100,0,0,0,89.709995,8.269136,
neos-3046615-murg , ,1,1,100,100,0,0,0,24.847346,0.010766, ,1,0,100,100,0,0,0,24.847346,0.009448, ,1,0,9.090909,9.090909,0,0,0,24.847346,0.009109, ,1,0,100,100,0,0,0,24.847346,0.008895, ,1,1,9.090909,9.090909,0,0,0,24.847346,0.011253, ,1,0,100,100,0,0,0,24.847346,0.011296,
neos-3083819-nubu , ,1,1,100,100,0,0,0,0.798347,0.100573, ,1,0,100,100,0,0,0,10.139691,0.079277, ,1,1,100,100,0,0,0,0.798347,0.128884, ,1,0,100,100,0,0,0,10.139691,0.096363, ,1,1,100,100,0,0,0,0.798347,0.134705, ,1,0,100,100,0,0,0,10.139691,0.097441,
neos-3216931-puriri , ,0,7304.666667,100,100,0.115599,0.129199,0.254998,-1,3600.011498, ,0,7326.666667,100,100,0.099733,0.099733,0.265198,-1,3600.011254, ,0,6768.333333,100,85.714286,0.123532,0.123532,0.336597,-1,3600.082772, ,0,7397.333333,100,83.333333,0.125799,0.125799,0.295798,-1,3600.100469, ,0,7279.666667,100,92.857143,0.118999,0.122399,0.285598,-1,3600.094909, ,0,7493,100,15.384615,0.125799,0.129199,0.285598,-1,3600.087835,
neos-3381206-awhea , ,0,2001.333333,100,100,0.489981,0.562339,2.666667,-1,10.345154, ,0,2001.333333,100,100,0.489981,0.562339,2.666667,-1,10.455273, ,0.333333,1364.666667,100,33.333333,0.283051,0.368811,1.62807,3.617021,7.598479, ,0.333333,1364.666667,100,33.333333,0.283051,0.368811,1.62807,3.617021,7.617657, ,0.333333,1383,100,25,0.365224,0.428382,1.838596,3.821656,7.911278, ,0.333333,1383,100,25,0.365224,0.428382,1.838596,3.821656,7.927057,
neos-3402294-bobin , ,1,12.666667,100,100,0,0,0,92.108376,5.360373, ,1,1,100,100,0,0,0,95.436534,3.409346, ,1,12.666667,100,100,0,0,0,92.108376,6.603543, ,1,1,100,100,0,0,0,95.436534,3.699376, ,1,7.666667,10,10,0,0,0,91.091477,14.484963, ,1,3,50,50,0,0,0,94.743013,4.155781,
neos-3555904-turama , ,1,1135.333333,100,100,0,0,0,12.199808,430.162036, ,1,354,100,100,0,0,0,11.911623,186.351151, ,1,86,88.888889,77.777778,0,0,0,27.95389,15.562635, ,1,1164.666667,100,100,0,0,0,19.788665,358.016358, ,1,660.333333,53.846154,15.384615,0,0,0,12.199808,382.091938, ,1,910.333333,100,25,0,0,0,12.199808,458.320318,
neos-3627168-kasai , ,1,8.333333,100,100,0,0,0,1.853852,0.077472, ,1,4.666667,100,100,0,0,0,1.192501,0.062045, ,1,4.333333,20,20,0,0,0,1.089204,0.090219, ,1,2.333333,20,20,0,0,0,0.914077,0.064925, ,1,3.666667,9.090909,9.090909,0,0,0,1.144531,0.084847, ,1,2.666667,20,20,0,0,0,0.904555,0.050824,
neos-3656078-kumeu , ,0,12000,100,100,0.105698,0.969346,0.734225,-1,1847.973012, ,0,12000,100,100,0.189742,2.110409,1.674877,-1,1837.518029, ,0,12000,100,92.307692,0.011887,0.268496,0.194699,-1,1678.343981, ,0,12000,100,100,0.189742,2.110409,1.674877,-1,1842.204118, ,0,12000,100,57.142857,0.121888,1.219294,0.971147,-1,1823.602584, ,0,12000,100,92.857143,0.151935,1.993135,1.37931,-1,1836.895278,
neos-3754480-nidda , ,1,1,100,100,0,0,0,24.371065,0.017859, ,1,1,100,100,0,0,0,23.284556,0.012793, ,1,1,10,10,0,0,0,24.609647,0.02511, ,1,0,50,50,0,0,0,23.284556,0.011633, ,1,1,7.692308,7.692308,0,0,0,24.609647,0.0252, ,1,0,50,50,0,0,0,23.284556,0.011,
neos-4300652-rahue , ,0,2670.666667,100,100,0.110048,0.073365,0.223285,-1,3600.04134, ,0,2297.333333,100,100,0.127592,0.082935,0.283892,-1,3600.055772, ,0,2846.333333,100,25,0.111643,0.066986,0.226475,-1,3600.602718, ,0,2079,100,50,0.132908,0.076023,0.315789,-1,3600.591879, ,0,1923,100,66.666667,0.118022,0.07815,0.236045,-1,3600.612013, ,0,2085.333333,100,50,0.132908,0.076023,0.315789,-1,3600.590354,
neos-4338804-snowy , ,1,325.666667,100,100,0,0,0,85.770353,0.703707, ,1,2,100,100,0,0,0,76.319351,0.040396, ,1,325.666667,100,100,0,0,0,85.770353,0.707044, ,1,3,12.5,12.5,0,0,0,79.47123,0.050826, ,1,212.333333,21.212121,9.090909,0,0,0,85.163272,0.695502, ,1,25.333333,9.090909,9.090909,0,0,0,80.058645,0.095381,
neos-4387871-tavua , ,0,12000,100,100,0.003846,0.003846,0.05,-1,90.704305, ,1,9167.666667,100,100,0,0,0,89.529286,69.468533, ,0.666667,9978,100,100,0.001282,0.001282,0.016667,88.123666,76.294922, ,0.666667,8157.666667,100,100,0.001282,0.001282,0.016667,89.050195,82.049435, ,0.666667,7634,100,33.333333,0.001282,0.001282,0.016667,88.306082,57.376657, ,0.333333,8481.333333,100,25,0.002564,0.002564,0.033333,88.328991,64.035104,
neos-4413714-turia , ,1,1,100,100,0,0,0,83.59574,17.032436, ,1,2,100,100,0,0,0,90.919176,26.057376, ,1,0,16.666667,16.666667,0,0,0,55.834841,3.435289, ,1,1.666667,33.333333,33.333333,0,0,0,90.919176,3.667092, ,1,1,23.076923,23.076923,0,0,0,87.284469,34.643864, ,1,1.333333,40,40,0,0,0,90.916486,3.04172,
neos-4532248-waihi , ,0,9768.666667,100,100,0.001518,0.001518,0.012667,-1,3600.110884, ,0,9345.666667,100,100,0.002166,0.002257,0.012283,-1,3600.266829, ,0,9766,100,100,0.001518,0.001518,0.012667,-1,3601.68559, ,0,9372.333333,100,87.5,0.001704,0.001795,0.011899,-1,3601.668421, ,0,2037.666667,100,54.545455,0.002524,0.002524,0.018424,-1,3601.817276, ,0.333333,6281.333333,87.878788,18.181818,0.000322,0.000322,0.001919,89.543371,2462.622,
neos-4647030-tutaki , ,1,4.666667,100,100,0,0,0,14.197238,12.905341, ,1,5.666667,100,100,0,0,0,35.180674,12.909317, ,1,4.666667,12.5,12.5,0,0,0,12.152812,15.345781, ,1,3.666667,11.111111,11.111111,0,0,0,32.790705,14.05888, ,1,4,7.692308,7.692308,0,0,0,5.752208,13.855104, ,1,2.333333,8.333333,8.333333,0,0,0,26.447402,12.734591,
neos-4722843-widden , ,1,10.666667,100,100,0,0,0,14.835819,10.254195, ,1,13,100,100,0,0,0,39.741448,9.285588, ,1,6,90.909091,90.909091,0,0,0,19.255141,9.264558, ,1,11,100,100,0,0,0,38.017157,12.009621, ,1,11.333333,92.857143,92.857143,0,0,0,16.948099,13.503165, ,1,1,50,50,0,0,0,76.851949,8.479345,
neos-4738912-atrato , ,1,2.333333,100,100,0,0,0,11.303491,0.119723, ,1,1,100,100,0,0,0,63.076696,0.098943, ,1,2.333333,66.666667,66.666667,0,0,0,11.706687,0.253362, ,1,1,14.285714,14.285714,0,0,0,37.072749,0.25057, ,1,3.333333,15.384615,15.384615,0,0,0,6.542213,0.144047, ,1,2.666667,9.090909,9.090909,0,0,0,44.072609,0.199804,
neos-4763324-toguru , ,1,2,100,100,0,0,0,81.405437,8.910887, ,1,0,100,100,0,0,0,82.44951,1.785801, ,1,3.666667,11.111111,11.111111,0,0,0,37.884376,8.394471, ,1,0,50,50,0,0,0,82.44951,2.17652, ,1,99,15.384615,7.692308,0,0,0,55.524328,12.065894, ,1,0,100,100,0,0,0,82.44951,2.881123,
neos-4954672-berkel , ,1,1,100,100,0,0,0,67.568748,0.032455, ,1,0,100,100,0,0,0,76.636687,0.023713, ,1,1,10,10,0,0,0,76.042378,0.034584, ,1,0,100,100,0,0,0,76.636687,0.033599, ,1,1,9.090909,9.090909,0,0,0,61.199705,0.036913, ,1,0,100,100,0,0,0,76.636687,0.028276,
neos-5049753-cuanza , ,0,1590,100,100,0.022479,0.01124,0.112396,-1,3600.318341, ,0.666667,93.666667,100,100,0.001606,0.000803,0.008028,23.588374,1797.231538, ,0,1752.333333,100,75,0.041747,0.020873,0.208735,-1,3603.521361, ,0.666667,707,100,66.666667,0.012845,0.006423,0.064226,35.144877,1382.206081, ,1,77.333333,44.444444,33.333333,0,0,0,18.766591,75.275124, ,0,1419,100,15.384615,0.006423,0.003211,0.032113,-1,3603.464546,
neos-5052403-cygnet , ,1,1,100,100,0,0,0,14.709369,96.642528, ,1,1,100,100,0,0,0,14.709369,95.861265, ,1,2.666667,12.5,12.5,0,0,0,15.761717,95.784307, ,1,2.666667,12.5,12.5,0,0,0,15.761717,95.371482, ,1,1.666667,7.692308,7.692308,0,0,0,12.97103,163.979913, ,1,1.666667,7.692308,7.692308,0,0,0,12.97103,163.62543,
neos-5093327-huahum , ,1,6,100,100,0,0,0,29.713704,3.290342, ,1,11.666667,100,100,0,0,0,26.208638,3.139235, ,1,5.666667,50,50,0,0,0,24.773711,5.1276, ,1,15,100,100,0,0,0,26.66657,3.915799, ,1,5.666667,50,50,0,0,0,24.773711,5.145942, ,1,15,100,100,0,0,0,26.66657,3.609029,
neos-5104907-jarama , ,0,4210.333333,100,100,0.019424,0.009712,0.931373,-1,3600.325001, ,0,4261.666667,100,100,0.020942,0.010471,0.931373,-1,3600.212442, ,0,4413.333333,100,80,0.011637,0.005818,0.581232,-1,3602.951505, ,0,4312,100,60,0.011029,0.005515,0.52521,-1,3602.803818, ,0,0,100,100,100,100,100,-1,3600.143409, ,0,4200,100,23.076923,0.026677,0.013339,0.812325,-1,3603.076481,
neos-5107597-kakapo , ,1,1239.666667,100,100,0,0,0,95.142306,17.232639, ,1,1404.333333,100,100,0,0,0,93.788951,26.750825, ,1,729.333333,100,33.333333,0,0,0,97.645862,13.109481, ,1,2366,100,33.333333,0,0,0,97.441936,46.235255, ,1,264,25.925926,11.111111,0,0,0,91.363182,5.170675, ,1,2221.666667,100,33.333333,0,0,0,97.521497,46.31816,
neos-5114902-kasavu , ,0.333333,162.666667,100,100,0.006105,0.003053,0.018315,24.10197,2479.89569, ,0,1,100,100,0.102259,0.071734,0.306777,-1,3600.958651, ,0.666667,134.333333,83.333333,75,0.003053,0.001526,0.009158,29.18712,1410.259354, ,0.666667,191.666667,100,83.333333,0.001526,0.000763,0.004579,35.284638,2700.136913, ,0.333333,277.666667,88.888889,33.333333,0.006105,0.003053,0.018315,28.33698,3414.223907, ,1,414,69.230769,15.384615,0,0,0,39.062023,2789.539084,
neos-5188808-nattai , ,1,6.333333,100,100,0,0,0,98.187343,2.539263, ,1,8,100,100,0,0,0,97.700422,2.441188, ,1,3,50,50,0,0,0,98.059006,5.545448, ,1,9.333333,50,50,0,0,0,97.631614,5.742518, ,1,6.333333,100,100,0,0,0,98.187343,6.492377, ,1,8,100,100,0,0,0,97.700422,4.822245,
neos-5195221-niemur , ,1,6.666667,100,100,0,0,0,96.417068,8.281584, ,1,6.666667,100,100,0,0,0,90.979223,5.10949, ,1,6.666667,100,100,0,0,0,96.417068,9.449119, ,1,374,100,20,0,0,0,94.111186,11.451644, ,1,854,100,9.090909,0,0,0,96.593679,131.886623, ,1,220.666667,75,25,0,0,0,92.454581,111.150931,
neos-631710 , ,1,1,100,100,0,0,0,63.489209,11.433417, ,1,1,100,100,0,0,0,63.489209,10.491852, ,1,1,12.5,12.5,0,0,0,60.375466,7.895566, ,1,1,16.666667,16.666667,0,0,0,62.244149,7.151048, ,1,1,7.692308,7.692308,0,0,0,21.011673,37.706929, ,1,1,7.692308,7.692308,0,0,0,59.4,53.561888,
neos-662469 , ,1,1,100,100,0,0,0,90.836615,2.128801, ,1,0,100,100,0,0,0,98.521995,0.560137, ,1,0,7.692308,7.692308,0,0,0,97.653569,1.853194, ,1,0,50,50,0,0,0,98.521995,0.596985, ,1,1,21.428571,21.428571,0,0,0,91.958272,3.006409, ,1,0,100,100,0,0,0,98.521995,0.863919,
