, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) ,
30n20b8 , ,0,12000,100,100,0.008499,0.008861,0.030831,-1,50.963995, ,0.333333,11486.666667,100,100,0.004221,0.004221,0.016322,80.628608,44.891402, ,0,12000,100,100,0.00836,0.009597,0.032644,-1,51.180689, ,0,12000,100,100,0.004732,0.006473,0.019949,-1,47.241404, ,0.333333,8283.333333,97.222222,16.666667,0.0013,0.0013,0.007254,92.98653,32.392638, ,0.333333,8334,96.969697,9.090909,0.002117,0.007203,0.012695,94.538879,36.061284,
blp-ar98 , ,1,12,100,100,0,0,0,53.989819,2.389576, ,1,3,100,100,0,0,0,54.998458,1.232575, ,1,418,87.179487,61.538462,0,0,0,38.759192,1.066343, ,1,3,100,100,0,0,0,54.998458,1.354576, ,1,6.666667,21.428571,21.428571,0,0,0,41.064405,2.028411, ,1,7.333333,16.666667,16.666667,0,0,0,58.647515,2.048032,
blp-ic98 , ,1,1,100,100,0,0,0,24.102828,0.97947, ,1,1.333333,100,100,0,0,0,60.202503,0.891213, ,1,0,10,10,0,0,0,17.531226,0.612287, ,1,0,12.5,12.5,0,0,0,56.103431,0.563673, ,1,3,8.333333,8.333333,0,0,0,32.399484,0.634027, ,1,1,10,10,0,0,0,48.21516,0.77695,
bnatt400 , ,0,12000,100,100,0.206941,0.279472,1.361111,-1,472.830162, ,0,12000,100,100,0.180212,0.236382,1.111111,-1,467.438268, ,0,12000,100,90.909091,0.168904,0.25841,1.157407,-1,472.396714, ,0,12000,100,100,0.180212,0.236382,1.111111,-1,469.006186, ,0,12000,100,100,0.206941,0.279472,1.361111,-1,471.930119, ,0,12000,100,23.076923,0.187067,0.249104,1.416667,-1,487.580044,
bppc4-08 , ,1,1,100,100,0,0,0,36.643842,0.1021, ,1,0,100,100,0,0,0,81.724138,0.054976, ,1,1,11.111111,11.111111,0,0,0,32.911392,0.071882, ,1,0,50,50,0,0,0,81.724138,0.047163, ,1,1,9.090909,9.090909,0,0,0,47.657967,0.148933, ,1,0,100,100,0,0,0,81.724138,0.062558,
brazil3 , ,1,7.666667,100,100,0,0,0,87.348131,10.43633, ,1,11.666667,100,100,0,0,0,88.957627,16.743351, ,1,7.666667,100,100,0,0,0,87.348131,12.588316, ,1,11.666667,100,100,0,0,0,88.957627,18.339869, ,1,7.666667,100,100,0,0,0,87.348131,10.854969, ,1,11.666667,100,100,0,0,0,88.957627,17.112234,
buildingenergy , ,1,1,100,100,0,0,0,1.086769,162.506098, ,1,1,100,100,0,0,0,99.766487,4.169468, ,1,1,100,100,0,0,0,1.086769,163.789124, ,1,1,100,100,0,0,0,99.766487,4.906127, ,1,1,100,100,0,0,0,1.086769,164.675359, ,1,1,100,100,0,0,0,99.766487,4.920422,
cbs-cta , ,1,1,100,100,0,0,0,100,0.564283, ,1,0,100,100,0,0,0,100,0.25347, ,1,2,9.090909,9.090909,0,0,0,100,0.532345, ,1,0,100,100,0,0,0,100,0.354455, ,1,2,9.090909,9.090909,0,0,0,100,0.885834, ,1,0,100,100,0,0,0,100,0.355235,
chromaticindex1024-7 , ,1,1,100,100,0,0,0,0,82.678315, ,1,1,100,100,0,0,0,0,95.177583, ,1,1.333333,54.545455,54.545455,0,0,0,0,23.24046, ,1,0,54.545455,54.545455,0,0,0,0,20.46455, ,1,3.333333,54.545455,54.545455,0,0,0,0,63.301332, ,1,1.333333,54.545455,54.545455,0,0,0,0,48.681217,
chromaticindex512-7 , ,1,1,100,100,0,0,0,0,23.646593, ,1,1,100,100,0,0,0,0,20.543894, ,1,0,36.363636,36.363636,0,0,0,0,10.819113, ,1,1,63.636364,63.636364,0,0,0,0,9.783718, ,1,1,54.545455,54.545455,0,0,0,0,16.467718, ,1,1,27.272727,27.272727,0,0,0,0,14.795717,
cmflsp50-24-8-8 , ,0.666667,7607,100,100,0.008528,0.008528,0.239464,17.17122,439.457871, ,0,12000,100,100,0.007153,0.007153,0.52682,-1,691.866818, ,0.666667,4325.666667,61.538462,7.692308,0.000905,0.000905,0.143678,11.542817,225.677947, ,0,12000,100,33.333333,0.018229,0.018229,0.622605,-1,687.051601, ,0,12000,100,64.285714,0.010217,0.010217,0.550766,-1,697.290275, ,0,12000,100,57.142857,0.021928,0.021928,1.029693,-1,697.659444,
co-100 , ,1,14.333333,100,100,0,0,0,77.890893,9.275859, ,1,182.333333,100,100,0,0,0,92.941534,38.397228, ,1,17.666667,100,100,0,0,0,79.26335,11.297815, ,1,20.666667,100,100,0,0,0,85.156704,11.587676, ,1,17.666667,100,100,0,0,0,79.26335,11.487862, ,1,69.333333,75,75,0,0,0,79.58006,12.763165,
cod105 , ,1,1,100,100,0,0,0,100,2.837539, ,1,0,100,100,0,0,0,100,0.1729, ,1,0,9.090909,9.090909,0,0,0,91.666667,1.504893, ,1,0,100,100,0,0,0,100,0.324875, ,1,1,10,10,0,0,0,100,3.922352, ,1,0,100,100,0,0,0,100,0.285994,
comp07-2idx , ,1,21.666667,100,100,0,0,0,99.407309,5.685827, ,1,18.666667,100,100,0,0,0,99.716098,4.4385, ,1,101.333333,94.871795,92.307692,0,0,0,99.262144,16.857022, ,1,150.666667,94.444444,91.666667,0,0,0,99.45146,13.506637, ,1,16.666667,50,50,0,0,0,99.528588,6.140731, ,1,17.666667,15.384615,15.384615,0,0,0,99.710877,12.114962,
comp21-2idx , ,1,21,100,100,0,0,0,92.847842,2.414443, ,1,23.666667,100,100,0,0,0,94.720098,2.349026, ,1,21,100,100,0,0,0,92.847842,5.846489, ,1,23.666667,100,100,0,0,0,94.720098,4.243563, ,1,19.666667,78.571429,78.571429,0,0,0,94.121185,2.748258, ,1,19,57.142857,57.142857,0,0,0,95.411277,2.84849,
cost266-UUE , ,1,2,100,100,0,0,0,32.097668,0.16847, ,1,2.333333,100,100,0,0,0,34.24935,0.230184, ,1,2,33.333333,33.333333,0,0,0,32.294392,0.42991, ,1,2.333333,50,50,0,0,0,34.398132,0.595565, ,1,2,33.333333,33.333333,0,0,0,32.294392,0.43322, ,1,2.333333,50,50,0,0,0,34.398132,0.589665,
cryptanalysiskb128n5obj16 , ,0,50.333333,100,100,2.029146,1.016246,31.507661,-1,3600.039465, ,0,382,100,100,0.011236,0.011236,0.029963,-1,3600.04904, ,0,49,100,100,2.029146,1.016246,31.507661,-1,3600.543832, ,0,379.666667,100,100,0.011236,0.011236,0.029963,-1,3778.675608, ,0,48.333333,100,100,2.029146,1.016246,31.507661,-1,3600.54474, ,0,382,100,100,0.011236,0.011236,0.029963,-1,3600.565317,
csched007 , ,1,1358.666667,100,100,0,0,0,49.441838,7.659004, ,1,1436.666667,100,100,0,0,0,51.009499,8.082539, ,1,3904.666667,100,90,0,0,0,48.019298,20.469746, ,1,1436.666667,100,100,0,0,0,51.009499,8.114831, ,1,707,57.142857,21.428571,0,0,0,46.788593,4.258852, ,1,874,88.888889,16.666667,0,0,0,50.47455,5.208872,
csched008 , ,1,219,100,100,0,0,0,8.303313,1.64751, ,1,232,100,100,0,0,0,8.626195,1.574193, ,1,219,100,100,0,0,0,8.303313,1.409492, ,1,483,100,57.142857,0,0,0,8.626195,1.691352, ,1,113.666667,12.121212,9.090909,0,0,0,8.465608,1.022398, ,1,279.666667,33.333333,12.5,0,0,0,8.786782,1.965456,
cvs16r128-89 , ,1,1,100,100,0,0,0,97.938144,0.289911, ,1,0,100,100,0,0,0,100,0.079049, ,1,0,33.333333,33.333333,0,0,0,97.938144,1.027235, ,1,0,33.333333,33.333333,0,0,0,100,0.094939, ,1,0,25,25,0,0,0,88.659794,0.600917, ,1,0,50,50,0,0,0,100,0.088352,
dano3_3 , ,1,1,100,100,0,0,0,0.005986,6.168633, ,1,1,100,100,0,0,0,0.951833,1.856215, ,1,1,14.285714,14.285714,0,0,0,0.010939,27.382119, ,1,1,14.285714,14.285714,0,0,0,0.76463,6.229706, ,1,1,12.5,12.5,0,0,0,0.010939,27.528323, ,1,1,12.5,12.5,0,0,0,4.738134,3.101338,
dano3_5 , ,1,1,100,100,0,0,0,0.309824,5.683681, ,1,1,100,100,0,0,0,1.612796,1.946477, ,1,1,16.666667,16.666667,0,0,0,0.302414,29.060741, ,1,1,10,10,0,0,0,1.802046,6.509913, ,1,1,14.285714,14.285714,0,0,0,0.302414,29.056681, ,1,1,9.090909,9.090909,0,0,0,1.58897,4.106761,
decomp2 , ,1,1,100,100,0,0,0,0,0.553681, ,1,12.666667,100,100,0,0,0,66.666667,0.891198, ,1,1,66.666667,66.666667,0,0,0,0,0.688022, ,1,12.666667,100,100,0,0,0,66.666667,1.218291, ,1,132.666667,22.222222,11.111111,0,0,0,67.083333,3.331486, ,1,25.666667,18.181818,18.181818,0,0,0,75.833333,1.339396,
drayage-100-23 , ,1,4.666667,100,100,0,0,0,28.607632,0.258943, ,1,2,100,100,0,0,0,86.989518,0.172114, ,1,18,88.888889,88.888889,0,0,0,0,0.474453, ,1,1,100,100,0,0,0,85.66971,0.235245, ,1,2.333333,21.428571,21.428571,0,0,0,21.67907,0.267482, ,1,0,11.111111,11.111111,0,0,0,65.096376,0.208727,
drayage-25-23 , ,1,3,100,100,0,0,0,32.817651,0.240079, ,1,1.333333,100,100,0,0,0,87.592005,0.165692, ,1,106.333333,100,88.888889,0,0,0,11.825197,1.706801, ,1,0,20,20,0,0,0,87.611836,0.160131, ,1,1,21.428571,21.428571,0,0,0,21.061726,0.244019, ,1,1,16.666667,16.666667,0,0,0,73.793212,0.247786,
dws008-01 , ,0,12000,100,100,0.015747,0.015694,0.237086,-1,260.069687, ,0,12000,100,100,0.011379,0.011215,0.181598,-1,260.041241, ,0,12000,100,100,0.015747,0.015694,0.237086,-1,261.549751, ,0,12000,100,100,0.011379,0.011215,0.181598,-1,261.784731, ,0,12000,100,33.333333,0.014693,0.014503,0.196731,-1,258.577017, ,0,12000,100,40,0.014922,0.014883,0.201776,-1,259.847799,
eil33-2 , ,1,47.666667,100,100,0,0,0,29.302677,1.156015, ,1,181.333333,100,100,0,0,0,48.016144,3.100937, ,1,47.666667,100,100,0,0,0,29.302677,1.263823, ,1,162.333333,100,66.666667,0,0,0,43.239627,1.807401, ,1,47.666667,100,100,0,0,0,29.302677,1.206151, ,1,132,18.181818,9.090909,0,0,0,43.173275,1.382853,
eilA101-2 , ,1,2744.666667,100,100,0,0,0,64.309784,1292.396142, ,1,1680.333333,100,100,0,0,0,63.920849,780.574412, ,1,2744.666667,100,100,0,0,0,64.309784,1300.714861, ,1,2248,100,66.666667,0,0,0,68.651188,1018.965595, ,1,2744.666667,100,100,0,0,0,64.309784,1292.86066, ,1,2365.666667,100,8.333333,0,0,0,68.625739,1109.013311,
enlight_hard , ,0,2001,100,100,0.25,0.25,0.5,-1,1.403137, ,0,2001,100,100,0.25,0.25,0.5,-1,1.527168, ,0,2001,100,100,0.25,0.25,0.5,-1,1.523725, ,0,2001,100,100,0.25,0.25,0.5,-1,1.348499, ,0,2003.333333,100,66.666667,0.416667,0.416667,0.833333,-1,1.498983, ,0,2001,100,66.666667,0.416667,0.416667,0.833333,-1,1.499847,
ex10 , ,0,1,100,100,100,100,100,-1,3600.133762, ,0,1,100,100,100,100,100,-1,3600.219933, ,0,1,100,0,100,100,100,-1,3601.222371, ,0,1,100,0,100,100,100,-1,3601.328014, ,0,0,100,100,100,100,100,-1,3600.314631, ,0,0,100,100,100,100,100,-1,3600.949921,
ex9 , ,0,13,100,100,0.687939,0.692579,15.580546,-1,3600.051017, ,0,7,100,100,0.686938,0.701033,17.349097,-1,3600.045557, ,0,92.666667,100,85.714286,0.757788,0.702326,16.006664,-1,3600.522604, ,0.333333,91.333333,100,77.777778,0.471092,0.44239,11.335384,0,3737.839398, ,0,0.666667,100,33.333333,100,100,100,-1,3600.389398, ,0,1,100,0,100,100,100,-1,3600.537148,
exp-1-500-5-5 , ,1,3,100,100,0,0,0,57.487716,0.020608, ,1,0,100,100,0,0,0,69.458582,0.012719, ,1,3,12.5,12.5,0,0,0,52.447849,0.024325, ,1,0,50,50,0,0,0,69.458582,0.015391, ,1,3,10,10,0,0,0,51.514153,0.027973, ,1,0,100,100,0,0,0,69.458582,0.018606,
fast0507 , ,1,1,100,100,0,0,0,20.089998,2.111747, ,1,1,100,100,0,0,0,28.424544,2.631362, ,1,1,10,10,0,0,0,20.995572,1.480391, ,1,1,20,20,0,0,0,27.793202,2.368953, ,1,0,7.692308,7.692308,0,0,0,15.942029,1.390377, ,1,1,7.692308,7.692308,0,0,0,25.93999,2.049837,
fastxgemm-n2r6s0t2 , ,1,4,100,100,0,0,0,90.708752,0.11316, ,1,2.666667,100,100,0,0,0,93.824378,0.100172, ,1,8.666667,50,50,0,0,0,90.116029,0.180316, ,1,12,50,50,0,0,0,90.871849,0.190802, ,1,8.333333,20,20,0,0,0,91.469442,0.111051, ,1,1,33.333333,33.333333,0,0,0,90.116029,0.077875,
fhnw-binpack4-48 , ,0,12000,100,100,0.045389,0.045389,0.739713,-1,112.809472, ,0,12000,100,100,0.049131,0.049131,0.554785,-1,117.087689, ,0,12000,100,25,0.031761,0.031761,0.314378,-1,111.217476, ,0,12000,100,25,0.041122,0.026654,0.499307,-1,110.276019, ,0,12000,100,14.285714,0.029595,0.029595,0.369857,-1,108.795875, ,0,12000,100,100,0.049131,0.049131,0.554785,-1,117.242054,
fiball , ,1,6,100,100,0,0,0,28.97867,0.898729, ,1,10,100,100,0,0,0,67.556548,1.072757, ,1,4.333333,10,10,0,0,0,28.681775,0.827767, ,1,3.666667,8.333333,8.333333,0,0,0,42.098183,0.706944, ,1,4.666667,12.5,12.5,0,0,0,31.006733,1.428191, ,1,8.666667,7.692308,7.692308,0,0,0,59.298394,1.399359,
gen-ip002 , ,1,1,100,100,0,0,0,14.224427,0.009072, ,1,0,100,100,0,0,0,100,0.004139, ,1,1,100,100,0,0,0,14.224427,0.007715, ,1,0,100,100,0,0,0,100,0.00472, ,1,1,100,100,0,0,0,14.224427,0.008801, ,1,0,100,100,0,0,0,100,0.00629,
gen-ip054 , ,1,1,100,100,0,0,0,15.508509,0.007867, ,1,1,100,100,0,0,0,62.416292,0.004854, ,1,1,100,100,0,0,0,15.508509,0.005762, ,1,1,100,100,0,0,0,62.416292,0.003788, ,1,1,100,100,0,0,0,15.508509,0.005804, ,1,1,100,100,0,0,0,62.416292,0.004504,
germanrr , ,1,10.666667,100,100,0,0,0,4.505204,4.000795, ,1,12,100,100,0,0,0,10.961121,1.438106, ,1,591.333333,100,61.538462,0,0,0,10.049142,7.99899, ,1,131.666667,100,83.333333,0,0,0,11.214044,5.357532, ,1,9,21.428571,21.428571,0,0,0,6.859833,5.710698, ,1,9,92.307692,92.307692,0,0,0,11.420689,3.66555,
gfd-schedulen180f7d50m30k18 , ,0,69.666667,100,100,0.215043,0.838657,2.474374,-1,3600.429044, ,0,37,100,100,0.191021,0.543003,1.164754,-1,3600.456729, ,0,68.666667,100,100,0.226413,0.739354,2.455345,-1,3602.047623, ,0,36.333333,100,100,0.191021,0.661698,1.164754,-1,3602.023695, ,0,64,100,90.909091,0.297132,0.775505,2.778849,-1,3602.417136, ,0,36.333333,100,100,0.191021,0.661698,1.164754,-1,3602.178477,
glass-sc , ,1,1,100,100,0,0,0,13.111111,0.448302, ,1,1,100,100,0,0,0,13.111111,0.449917, ,1,1,16.666667,16.666667,0,0,0,16.773095,1.065797, ,1,1,16.666667,16.666667,0,0,0,16.773095,1.068423, ,1,1,33.333333,33.333333,0,0,0,19.68254,1.127601, ,1,1,33.333333,33.333333,0,0,0,19.68254,1.116849,
glass4 , ,1,70.666667,100,100,0,0,0,72.111103,0.124337, ,1,46.333333,100,100,0,0,0,72.600468,0.091947, ,1,224,100,33.333333,0,0,0,67.952189,0.250638, ,1,219,100,33.333333,0,0,0,73.172305,0.245169, ,1,40.666667,16.666667,16.666667,0,0,0,68.820482,0.076132, ,1,56,16.666667,16.666667,0,0,0,67.60649,0.091062,
gmu-35-40 , ,1,20.666667,100,100,0,0,0,2.282099,0.128067, ,1,57.666667,100,100,0,0,0,3.651606,0.292308, ,1,23.666667,80,80,0,0,0,1.983073,0.059483, ,1,57.666667,100,100,0,0,0,3.651606,0.310087, ,1,40,42.857143,42.857143,0,0,0,3.652921,0.224038, ,1,118.333333,41.666667,37.5,0,0,0,5.048257,0.56416,
gmu-35-50 , ,1,65.666667,100,100,0,0,0,3.944616,0.49904, ,1,29.333333,100,100,0,0,0,6.076841,0.239814, ,1,45.333333,80,80,0,0,0,3.485244,0.086165, ,1,29.333333,100,100,0,0,0,6.076841,0.263419, ,1,3,37.5,37.5,0,0,0,0.713599,0.099106, ,1,168.333333,36.363636,27.272727,0,0,0,6.065874,1.049528,
graph20-20-1rand , ,1,10,100,100,0,0,0,40.740741,0.455994, ,1,0,100,100,0,0,0,100,0.117711, ,1,10,100,100,0,0,0,40.740741,1.1584, ,1,0,33.333333,33.333333,0,0,0,100,0.129004, ,1,3.666667,33.333333,33.333333,0,0,0,11.111111,1.438562, ,1,0,50,50,0,0,0,100,0.074391,
graphdraw-domain , ,1,4.333333,100,100,0,0,0,35.540374,0.025198, ,1,133,100,100,0,0,0,55.1011,0.076797, ,1,298.333333,100,25,0,0,0,37.045733,0.192862, ,1,197.333333,83.333333,50,0,0,0,53.413436,0.143224, ,1,299.666667,40,10,0,0,0,49.597471,0.280352, ,1,1,16.666667,16.666667,0,0,0,46.806096,0.022495,
h80x6320d , ,1,7,100,100,0,0,0,40.192247,0.578461, ,1,2.333333,100,100,0,0,0,71.885178,0.311342, ,1,0,20,20,0,0,0,22.512772,0.214964, ,1,0,20,20,0,0,0,71.234186,0.301968, ,1,4.666667,33.333333,33.333333,0,0,0,39.87915,0.54411, ,1,3,14.285714,14.285714,0,0,0,67.606499,0.480396,
highschool1-aigio , ,0,19.666667,100,100,0.022802,0.020175,0.088846,-1,3600.145648, ,0,33.333333,100,100,0.003042,0.003618,0.010195,-1,3600.14433, ,0.666667,16.666667,100,87.5,0.018726,0.003537,0.037453,100,2124.320441, ,0,33.333333,100,100,0.003042,0.003456,0.010195,-1,3600.569654, ,1,22.666667,38.461538,7.692308,0,0,0,100,1854.918957, ,0,65.666667,100,15.384615,0.086668,0.031737,0.177796,-1,3600.626176,
hypothyroid-k1 , ,1,1,100,100,0,0,0,0,7.472108, ,1,25.333333,100,100,0,0,0,77.154215,3.731473, ,1,2.666667,50,50,0,0,0,0.011692,9.773132, ,1,25.333333,100,100,0,0,0,77.154215,4.177509, ,1,208,50,16.666667,0,0,0,75.002923,13.881146, ,1,17,40,40,0,0,0,85.630773,3.228594,
ic97_potential , ,0,2003,100,100,0.026556,0.026556,0.764818,-1,4.886739, ,0,12000,100,100,0.062673,0.062673,1.274697,-1,16.939911, ,0,2003,100,100,0.026556,0.026556,0.764818,-1,5.591852, ,0,12000,100,100,0.062673,0.062673,1.274697,-1,16.805114, ,0,12000,100,90.909091,0.050988,0.050988,0.956023,-1,16.688016, ,1,254,89.74359,69.230769,0,0,0,6.66105,0.981202,
