, , config1 , , , , , , , , , , config3 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , , config18 , , , , , , , , , , config19 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
r-stop-dp-C50_3_v4_d0.25_b1 , , 0.000000 , 5355.333333 , 100.000000 , 100.000000 , 0.007425 , 0.007425 , 0.205049 , -1.000000 , 3600.018528 , , 1.000000 , 13.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 4.946251 , , 1.000000 , 180.000000 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 121.916718 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 1.009163 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.959567 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.753214
r-stop-dp-C50_3_v4_d0.25_b5 , , 0.000000 , 539.666667 , 100.000000 , 100.000000 , 0.042315 , 0.042315 , 0.435730 , -1.000000 , 3600.059986 , , 1.000000 , 43.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 289.140141 , , 1.000000 , 179.666667 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 220.446388 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 3.503805 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2.694166 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2.422171
r-stop-dp-C50_4_v2_d0.25_b1 , , 0.000000 , 5167.000000 , 100.000000 , 100.000000 , 0.019808 , 0.019808 , 0.410099 , -1.000000 , 3600.014703 , , 1.000000 , 8.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 2.705250 , , 1.000000 , 428.666667 , 38.095238 , 7.142857 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 241.292906 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 1.270378 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.958117 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.704111
r-stop-dp-C50_4_v2_d0.25_b5 , , 0.000000 , 354.000000 , 100.000000 , 100.000000 , 0.068079 , 0.068079 , 1.025247 , -1.000000 , 3600.100968 , , 0.666667 , 33.333333 , 100.000000 , 100.000000 , 0.004091 , 0.004091 , 0.076894 , 50.000000 , 1261.915447 , , 1.000000 , 124.666667 , 16.666667 , 14.285714 , 0.000000 , 0.000456 , 0.000000 , 100.000000 , 103.618838 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 3.515105 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 2.794151 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 2.316502
r-stop-dp-C50_4_v4_d0.25_b1 , , 0.333333 , 3158.333333 , 100.000000 , 100.000000 , 0.003988 , 0.003988 , 0.153787 , 100.000000 , 2683.425691 , , 1.000000 , 8.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 2.692960 , , 0.000000 , 4292.000000 , 100.000000 , 16.666667 , 0.004210 , 0.004210 , 0.205049 , -1.000000 , 3600.265409 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 1.142357 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.954213 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.600835
r-stop-dp-C50_4_v4_d0.25_b5 , , 0.000000 , 342.333333 , 100.000000 , 100.000000 , 0.031986 , 0.031986 , 0.768935 , -1.000000 , 3600.057682 , , 1.000000 , 17.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 66.666667 , 178.901880 , , 1.000000 , 221.666667 , 30.555556 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 422.176419 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.006660 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2.536842 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 2.128457
r-stop-dp-R100_3_v2_d0.25_b1 , , 0.000000 , 184.000000 , 100.000000 , 100.000000 , 0.168301 , 0.169378 , 1.287455 , -1.000000 , 3600.097268 , , 1.000000 , 4.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 161.002253 , , 0.666667 , 297.000000 , 59.523810 , 7.142857 , 0.002072 , 0.002072 , 0.029409 , 100.000000 , 1688.748424 , , 1.000000 , 1.666667 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 6.207859 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.567594 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 306.711289
r-stop-dp-R100_3_v2_d0.25_b5 , , 0.000000 , 14.666667 , 100.000000 , 100.000000 , 0.199954 , 0.199958 , 1.767801 , -1.000000 , 3600.345089 , , 0.000000 , 1.000000 , 100.000000 , 100.000000 , 0.013584 , 0.013584 , 0.071888 , -1.000000 , 3600.363124 , , 0.000000 , 151.000000 , 100.000000 , 7.142857 , 0.058723 , 0.058943 , 0.464007 , -1.000000 , 3606.739524 , , 1.000000 , 0.000000 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 29.041573 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 18.396973 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 16.161323
r-stop-dp-R100_3_v4_d0.25_b1 , , 0.000000 , 313.000000 , 100.000000 , 100.000000 , 0.117839 , 0.119233 , 0.937817 , -1.000000 , 3600.092436 , , 1.000000 , 4.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 155.886067 , , 1.000000 , 212.000000 , 23.076923 , 7.692308 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 133.611246 , , 1.000000 , 2.333333 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.907926 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 5.601962 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 4.385189
r-stop-dp-R100_3_v4_d0.25_b5 , , 0.000000 , 14.666667 , 100.000000 , 100.000000 , 0.176627 , 0.176627 , 1.637094 , -1.000000 , 3600.304429 , , 0.000000 , 1.000000 , 100.000000 , 100.000000 , 0.013584 , 0.013584 , 0.071888 , -1.000000 , 3600.494048 , , 0.000000 , 154.000000 , 100.000000 , 7.692308 , 0.025499 , 0.025499 , 0.192792 , -1.000000 , 3607.077911 , , 1.000000 , 0.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 24.582112 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 18.502591 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 16.299034
