, , config1 , , , , , , , , , , config3 , , , , , , , , , , config4 , , , , , , , , , , config5 , , , , , , , , , , config16 , , , , , , , , , , config17 , , , , , , , , , 
instance , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) , , success , iter , visited buckets (%), first feasible bucket (%) , actual int gap (%) , proj int gap (%), num frac (%), obj gap (%), time (s) 
binkar10_1 , , 1.000000 , 6.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 7.992379 , 0.075774 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 43.644222 , 0.045791 , , 1.000000 , 0.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 33.979550 , 0.050431 , , 1.000000 , 0.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 43.732053 , 0.031828 , , 1.000000 , 2.000000 , 81.818182 , 81.818182 , 0.000000 , 0.000000 , 0.000000 , 16.542861 , 0.081865 , , 1.000000 , 3.000000 , 33.333333 , 33.333333 , 0.000000 , 0.000000 , 0.000000 , 43.651732 , 0.052274
blp-ar98 , , 1.000000 , 12.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 53.989819 , 2.389576 , , 1.000000 , 3.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.998458 , 1.232575 , , 1.000000 , 418.000000 , 87.179487 , 61.538462 , 0.000000 , 0.000000 , 0.000000 , 38.759192 , 1.066343 , , 1.000000 , 3.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 54.998458 , 1.354576 , , 1.000000 , 6.666667 , 21.428571 , 21.428571 , 0.000000 , 0.000000 , 0.000000 , 41.064405 , 2.028411 , , 1.000000 , 7.333333 , 16.666667 , 16.666667 , 0.000000 , 0.000000 , 0.000000 , 58.647515 , 2.048032
blp-ic98 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 24.102828 , 0.979470 , , 1.000000 , 1.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 60.202503 , 0.891213 , , 1.000000 , 0.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 17.531226 , 0.612287 , , 1.000000 , 0.000000 , 12.500000 , 12.500000 , 0.000000 , 0.000000 , 0.000000 , 56.103431 , 0.563673 , , 1.000000 , 3.000000 , 8.333333 , 8.333333 , 0.000000 , 0.000000 , 0.000000 , 32.399484 , 0.634027 , , 1.000000 , 1.000000 , 10.000000 , 10.000000 , 0.000000 , 0.000000 , 0.000000 , 48.215160 , 0.776950
bnatt400 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.206941 , 0.279472 , 1.361111 , -1.000000 , 472.830162 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.180212 , 0.236382 , 1.111111 , -1.000000 , 467.438268 , , 0.000000 , 12000.000000 , 100.000000 , 90.909091 , 0.168904 , 0.258410 , 1.157407 , -1.000000 , 472.396714 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.180212 , 0.236382 , 1.111111 , -1.000000 , 469.006186 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.206941 , 0.279472 , 1.361111 , -1.000000 , 471.930119 , , 0.000000 , 12000.000000 , 100.000000 , 23.076923 , 0.187067 , 0.249104 , 1.416667 , -1.000000 , 487.580044
bppc4-08 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 36.643842 , 0.102100 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 81.724138 , 0.054976 , , 1.000000 , 1.000000 , 11.111111 , 11.111111 , 0.000000 , 0.000000 , 0.000000 , 32.911392 , 0.071882 , , 1.000000 , 0.000000 , 50.000000 , 50.000000 , 0.000000 , 0.000000 , 0.000000 , 81.724138 , 0.047163 , , 1.000000 , 1.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 47.657967 , 0.148933 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 81.724138 , 0.062558
cbs-cta , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.564283 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.253470 , , 1.000000 , 2.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.532345 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.354455 , , 1.000000 , 2.000000 , 9.090909 , 9.090909 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.885834 , , 1.000000 , 0.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 100.000000 , 0.355235
chromaticindex1024-7 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 82.678315 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 95.177583 , , 1.000000 , 1.333333 , 54.545455 , 54.545455 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 23.240460 , , 1.000000 , 0.000000 , 54.545455 , 54.545455 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 20.464550 , , 1.000000 , 3.333333 , 54.545455 , 54.545455 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 63.301332 , , 1.000000 , 1.333333 , 54.545455 , 54.545455 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 48.681217
chromaticindex512-7 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 23.646593 , , 1.000000 , 1.000000 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 20.543894 , , 1.000000 , 0.000000 , 36.363636 , 36.363636 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 10.819113 , , 1.000000 , 1.000000 , 63.636364 , 63.636364 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 9.783718 , , 1.000000 , 1.000000 , 54.545455 , 54.545455 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 16.467718 , , 1.000000 , 1.000000 , 27.272727 , 27.272727 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 14.795717
cmflsp50-24-8-8 , , 0.666667 , 7607.000000 , 100.000000 , 100.000000 , 0.008528 , 0.008528 , 0.239464 , 17.171220 , 439.457871 , , 0.000000 , 12000.000000 , 100.000000 , 100.000000 , 0.007153 , 0.007153 , 0.526820 , -1.000000 , 691.866818 , , 0.666667 , 4325.666667 , 61.538462 , 7.692308 , 0.000905 , 0.000905 , 0.143678 , 11.542817 , 225.677947 , , 0.000000 , 12000.000000 , 100.000000 , 33.333333 , 0.018229 , 0.018229 , 0.622605 , -1.000000 , 687.051601 , , 0.000000 , 12000.000000 , 100.000000 , 64.285714 , 0.010217 , 0.010217 , 0.550766 , -1.000000 , 697.290275 , , 0.000000 , 12000.000000 , 100.000000 , 57.142857 , 0.021928 , 0.021928 , 1.029693 , -1.000000 , 697.659444
co-100 , , 1.000000 , 14.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 77.890893 , 9.275859 , , 1.000000 , 182.333333 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 92.941534 , 38.397228 , , 1.000000 , 17.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 79.263350 , 11.297815 , , 1.000000 , 20.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 85.156704 , 11.587676 , , 1.000000 , 17.666667 , 100.000000 , 100.000000 , 0.000000 , 0.000000 , 0.000000 , 79.263350 , 11.487862 , , 1.000000 , 69.333333 , 75.000000 , 75.000000 , 0.000000 , 0.000000 , 0.000000 , 79.580060 , 12.763165
