instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
r-stop-dp-C50_3_v2_d0.25_b5,config3,2,FOUND INTEGER FEASIBLE,0.000000,29.343272,10,0,-1,-1,-21.357350,-31.086600,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config3,3,FOUND INTEGER FEASIBLE,0.000000,66.053844,5,0,-1,-1,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config20,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,838,0,-1,-1,0.000000,0.000000,0.894418,0.894418,14
r-stop-dp-C50_3_v2_d0.25_b5,config20,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,622,0,-1,-1,0.000000,0.000000,0.936799,0.936799,10
r-stop-dp-C50_3_v2_d0.25_b5,config20,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,448,0,-1,-1,0.000000,0.000000,3.192329,3.192329,38
r-stop-dp-C50_3_v2_d0.25_b5,config16,1,FOUND INTEGER FEASIBLE,19.073039,475.572933,271,11,3,0,-34.774640,-51.693450,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config16,2,FOUND INTEGER FEASIBLE,19.259620,961.327651,376,11,4,0,-39.547690,-47.218700,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config16,3,FOUND INTEGER FEASIBLE,19.060069,167.219302,177,11,2,0,-99.604800,-116.360530,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config17,1,FOUND INTEGER FEASIBLE,0.912609,2.737467,0,2,0,0,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config17,2,FOUND INTEGER FEASIBLE,0.899363,2.711991,0,2,0,0,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config17,3,FOUND INTEGER FEASIBLE,0.896434,2.714996,0,2,0,0,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config21,1,FOUND INTEGER FEASIBLE,46.176810,601.025696,196,12,3,0,0.000000,0.000000,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config21,2,FOUND INTEGER FEASIBLE,46.090743,618.917988,190,12,3,0,-77.769750,-104.190440,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config21,3,FOUND INTEGER FEASIBLE,46.198007,179.532363,106,12,1,0,-35.703350,-53.771350,0.000000,0.000000,0
r-stop-dp-C50_3_v2_d0.25_b5,config23,1,FOUND INTEGER FEASIBLE,46.187838,109.501989,97,12,1,0,-20.715350,-38.467480,0.000000,0.000000,0
