 &FP$^*$ & FP$^{-}$ & FP$^{+}$ & KP$^*$ & KP$^{-}$ & KP$^{+}$ & KP$^{+/-}$ & CPLEX$_{std}$ & CPLEX$_{feas}$ \\
FP$^*$ & {--} & 0/24/24 & 4/41/3 & 1/31/16 & 0/16/32 & 0/16/32 & 0/16/32 & 0/16/32 & 0/16/32 \\
FP$^{-}$ & 24/24/0 & {--} & 25/23/0 & 10/37/1 & 0/40/8 & 0/40/8 & 0/40/8 & 0/40/8 & 0/40/8 \\
FP$^{+}$ & 3/41/4 & 0/23/25 & {--} & 0/32/16 & 0/15/33 & 0/15/33 & 0/15/33 & 0/15/33 & 0/15/33 \\
KP$^*$ & 16/31/1 & 1/37/10 & 16/32/0 & {--} & 0/31/17 & 0/31/17 & 0/31/17 & 0/31/17 & 0/31/17 \\
KP$^{-}$ & 32/16/0 & 8/40/0 & 33/15/0 & 17/31/0 & {--} & 0/48/0 & 0/48/0 & 0/48/0 & 0/48/0 \\
KP$^{+}$ & 32/16/0 & 8/40/0 & 33/15/0 & 17/31/0 & 0/48/0 & {--} & 0/48/0 & 0/48/0 & 0/48/0 \\
KP$^{+/-}$ & 32/16/0 & 8/40/0 & 33/15/0 & 17/31/0 & 0/48/0 & 0/48/0 & {--} & 0/48/0 & 0/48/0 \\
CPLEX$_{std}$ & 32/16/0 & 8/40/0 & 33/15/0 & 17/31/0 & 0/48/0 & 0/48/0 & 0/48/0 & {--} & 0/48/0 \\
CPLEX$_{feas}$ & 32/16/0 & 8/40/0 & 33/15/0 & 17/31/0 & 0/48/0 & 0/48/0 & 0/48/0 & 0/48/0 & {--} \\
