instance,config,seed,status,time_kernel,total_time,iterations,buckets,last_bucket,first_bucket,value,reopt_value,real_gap,proj_gap,num_frac
50v-10,config23,1,FOUND INTEGER FEASIBLE,0.001972,0.026013,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,2,FOUND INTEGER FEASIBLE,0.002500,0.031880,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config23,3,FOUND INTEGER FEASIBLE,0.001507,0.023689,0,0,0,0,14047637.242963,14047637.242963,0.000000,0.000000,0
50v-10,config19,1,FOUND INTEGER FEASIBLE,0.000000,0.018462,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config19,2,FOUND INTEGER FEASIBLE,0.000000,0.016034,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config19,3,FOUND INTEGER FEASIBLE,0.000000,0.015369,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config18,1,FOUND INTEGER FEASIBLE,0.000000,0.017788,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config18,2,FOUND INTEGER FEASIBLE,0.000000,0.017227,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
50v-10,config18,3,FOUND INTEGER FEASIBLE,0.000000,0.015082,0,0,-1,-1,14205494.682632,14205494.682632,0.000000,0.000000,0
academictimetablesmall,config1,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,4912,0,-1,-1,0.000000,0.000000,53.977169,45.326204,326
academictimetablesmall,config1,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,4744,0,-1,-1,0.000000,0.000000,47.245740,42.711881,434
academictimetablesmall,config1,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,5132,0,-1,-1,0.000000,0.000000,51.361816,42.127822,413
academictimetablesmall,config3,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,5008,0,-1,-1,0.000000,0.000000,43.866527,39.750070,334
academictimetablesmall,config3,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,4901,0,-1,-1,0.000000,0.000000,46.352295,39.735328,369
academictimetablesmall,config3,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,5095,0,-1,-1,0.000000,0.000000,52.489024,40.515237,392
academictimetablesmall,config20,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,3374,0,-1,-1,0.000000,0.000000,38.809747,33.532498,217
academictimetablesmall,config20,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,3273,0,-1,-1,0.000000,0.000000,42.096761,35.058219,296
academictimetablesmall,config20,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.000000,3600,3423,0,-1,-1,0.000000,0.000000,45.751629,41.070343,351
academictimetablesmall,config16,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.698397,3600,4538,12,12,1,0.000000,0.000000,54.997900,36.277802,341
academictimetablesmall,config16,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,0.797546,3600,4739,12,12,1,0.000000,0.000000,38.168908,22.546499,160
academictimetablesmall,config16,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.036999,3600,4702,12,12,1,0.000000,0.000000,42.011640,33.969312,297
academictimetablesmall,config17,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.491886,3600,4659,11,11,6,0.000000,0.000000,38.972564,24.971282,257
academictimetablesmall,config17,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.059012,3600,3815,11,11,6,0.000000,0.000000,52.871507,45.391680,460
academictimetablesmall,config17,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,5.094311,3600,4630,11,11,6,0.000000,0.000000,36.108005,36.358849,282
academictimetablesmall,config21,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.967371,3600,4718,12,12,1,0.000000,0.000000,30.200000,18.000000,131
academictimetablesmall,config21,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.354398,3600,4447,12,12,1,0.000000,0.000000,41.885865,24.594860,202
academictimetablesmall,config21,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,2.565649,3600,4705,12,12,1,0.000000,0.000000,33.907407,20.935185,264
academictimetablesmall,config23,1,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.824366,3600,4774,12,12,1,0.000000,0.000000,39.325059,20.293144,173
academictimetablesmall,config23,2,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.966803,3600,4558,12,12,1,0.000000,0.000000,38.660039,32.274692,355
academictimetablesmall,config23,3,FAILED TO FIND AN INTEGER FEASIBLE SOLUTION,1.955029,3600,4749,12,12,1,0.000000,0.000000,29.149912,21.930776,180
academictimetablesmall,config19,1,FOUND INTEGER FEASIBLE,0.000000,436.257702,0,0,-1,-1,2252.000000,2252.000000,0.000000,0.000000,0
academictimetablesmall,config19,2,FOUND INTEGER FEASIBLE,0.000000,437.557961,0,0,-1,-1,2252.000000,2252.000000,0.000000,0.000000,0
academictimetablesmall,config19,3,FOUND INTEGER FEASIBLE,0.000000,438.144981,0,0,-1,-1,2252.000000,2252.000000,0.000000,0.000000,0
academictimetablesmall,config18,1,FOUND INTEGER FEASIBLE,0.000000,708.262428,0,0,-1,-1,2629.000000,2629.000000,0.000000,0.000000,0
academictimetablesmall,config18,2,FOUND INTEGER FEASIBLE,0.000000,705.194055,0,0,-1,-1,2629.000000,2629.000000,0.000000,0.000000,0
academictimetablesmall,config18,3,FOUND INTEGER FEASIBLE,0.000000,707.885928,0,0,-1,-1,2629.000000,2629.000000,0.000000,0.000000,0
air05,config1,1,FOUND INTEGER FEASIBLE,0.000000,1.577025,1,0,-1,-1,28539.000000,28539.000000,0.000000,0.000000,0
air05,config1,2,FOUND INTEGER FEASIBLE,0.000000,1.558098,1,0,-1,-1,28539.000000,28539.000000,0.000000,0.000000,0
air05,config1,3,FOUND INTEGER FEASIBLE,0.000000,1.564378,1,0,-1,-1,28539.000000,28539.000000,0.000000,0.000000,0
air05,config3,1,FOUND INTEGER FEASIBLE,0.000000,2.419116,4,0,-1,-1,39298.000000,39298.000000,0.000000,0.000000,0
air05,config3,2,FOUND INTEGER FEASIBLE,0.000000,2.419441,4,0,-1,-1,39298.000000,39298.000000,0.000000,0.000000,0
